"IncidentDate","OccurredFromTime","IncidentNum","Offense","NIBRS","NIBRSCategory","SRS_UCR","CrimeAgainst","FelMisdCit","IncidentTopSRS_UCR","IncidentLocation","IntersectionOtherLoc","District","Neighborhood","NbhdNum","Latitude","Longitude","IncidentSupplemented","LastSuppDate","VictimNum","FirearmUsed","IncidentNature"
"4/11/2021 12:00:00 AM","18:00:00","21014636    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","I-70","7TH ST","3","Soulard","21","38.732345","-90.340749","Yes","4/22/2024 12:26:26 PM","396032","Yes","Aggravated Assault - Shooting - Criminal"
"4/11/2021 12:00:00 AM","18:00:00","21014636    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","I-70","7TH ST","3","Soulard","21","38.732345","-90.340749","Yes","4/22/2024 12:26:26 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/12/2021 12:00:00 AM","01:00:00","21014677    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","4332 HARTFORD ST","","2","Tower Grove South","15","38.603507","-90.262579","Yes","4/22/2024 12:23:30 PM","396026","Yes","Aggravated Assault - Shooting - Criminal"
"4/11/2021 12:00:00 AM","20:39:00","21014769    ","MISCELLANEOUS WEAPON VIOLATION","520","Weapons Law Violations","","Society","","","5717 PAMPLIN PL","","6","Walnut Park West","76","38.709425","-90.253248","Yes","4/18/2024 12:05:47 PM","","Yes","Weapon Law Violation - Criminal"
"4/18/2021 12:00:00 AM","00:15:00","21015663    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","4413 SEXAUER AVE","","6","Penrose","69","38.681371","-90.23879","Yes","4/19/2024 12:05:33 PM","395313","Yes","Aggravated Assault - Shooting - Criminal"
"4/18/2021 12:00:00 AM","00:15:00","21015663    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","4413 SEXAUER AVE","","6","Penrose","69","38.681371","-90.23879","Yes","4/19/2024 12:05:33 PM","395314","Yes","Aggravated Assault - Shooting - Criminal"
"4/23/2021 12:00:00 AM","18:45:00","21016524    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3463 S GRAND BLVD","","2","Tower Grove South","15","38.594307","-90.243939","Yes","4/22/2024 12:27:54 PM","396034","Yes","Aggravated Assault - Shooting - Criminal"
"4/23/2021 12:00:00 AM","18:45:00","21016524    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","04","3463 S GRAND BLVD","","2","Tower Grove South","15","38.594307","-90.243939","Yes","4/22/2024 12:27:54 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/24/2021 12:00:00 AM","11:00:00","21016612    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3255 DELOR","","1","Dutchtown","16","38.570096","-90.244157","Yes","4/22/2024 12:29:10 PM","396036","Yes","Aggravated Assault - Shooting - Criminal"
"4/27/2021 12:00:00 AM","22:45:00","21017203    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3620 MERAMEC ST","","1","Dutchtown","16","38.580943","-90.2451","Yes","4/22/2024 12:18:44 PM","396016","Yes","Aggravated Assault - Shooting - Criminal"
"4/27/2021 12:00:00 AM","22:45:00","21017203    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3620 MERAMEC ST","","1","Dutchtown","16","38.580943","-90.2451","Yes","4/22/2024 12:18:44 PM","396018","Yes","Aggravated Assault - Shooting - Criminal"
"4/27/2021 12:00:00 AM","22:45:00","21017203    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3620 MERAMEC ST","","1","Dutchtown","16","38.580943","-90.2451","Yes","4/22/2024 12:18:44 PM","396020","Yes","Aggravated Assault - Shooting - Criminal"
"4/27/2021 12:00:00 AM","22:45:00","21017203    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","3620 MERAMEC ST","","1","Dutchtown","16","38.580943","-90.2451","Yes","4/22/2024 12:18:44 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","22:00:00","21017710    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","4310 CHOUTEAU AVE","","2","Forest Park Southeast","39","38.628925","-90.254651","Yes","4/22/2024 12:25:00 PM","396029","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","22:00:00","21017710    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","4310 CHOUTEAU AVE","","2","Forest Park Southeast","39","38.628925","-90.254651","Yes","4/22/2024 12:25:00 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:17:00","21017718    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","1243 S 14TH ST","","3","Peabody Darst Webbe","33","38.616685","-90.20524","Yes","4/22/2024 12:30:33 PM","396037","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:17:00","21017718    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","1243 S 14TH ST","","3","Peabody Darst Webbe","33","38.616685","-90.20524","Yes","4/22/2024 12:30:33 PM","396038","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:40:00","21017724    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3010 MIAMI ST","","3","Gravois Park","19","38.590515","-90.23473","Yes","4/22/2024 12:31:56 PM","396039","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:40:00","21017724    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3010 MIAMI ST","","3","Gravois Park","19","38.590515","-90.23473","Yes","4/22/2024 12:31:56 PM","396040","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:40:00","21017724    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3010 MIAMI ST","","3","Gravois Park","19","38.590515","-90.23473","Yes","4/22/2024 12:31:56 PM","396041","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:40:00","21017724    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","3010 MIAMI ST","","3","Gravois Park","19","38.590515","-90.23473","Yes","4/22/2024 12:31:56 PM","396042","Yes","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:40:00","21017724    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","3010 MIAMI ST","","3","Gravois Park","19","38.590515","-90.23473","Yes","4/22/2024 12:31:56 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/30/2021 12:00:00 AM","23:40:00","21017724    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","04","3010 MIAMI ST","","3","Gravois Park","19","38.590515","-90.23473","Yes","4/22/2024 12:31:56 PM","","No","Aggravated Assault - Shooting - Criminal"
"5/4/2021 12:00:00 AM","03:32:00","21018308    ","MISCELLANEOUS WEAPON VIOLATION","520","Weapons Law Violations","","Society","","","5348 RUSKIN AVE","","6","Mark Twain","71","38.690987","-90.24166","Yes","4/25/2024 6:05:42 PM","","Yes","Weapon Law Violation - Criminal"
"5/6/2021 12:00:00 AM","00:19:00","21018577    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","N 22ND ST","CASS AVE","4","Carr Square","61","38.636735","-90.209955","Yes","4/26/2024 12:05:08 PM","397566","No","Aggravated Assault - Shooting - Criminal"
"5/6/2021 12:00:00 AM","00:19:00","21018577    ","TAMPERING WITH MOTOR VEHICLE - 1ST DEGREE","240","Motor Vehicle Theft","07","Property","F","04","N 22ND ST","CASS AVE","4","Carr Square","61","38.636735","-90.209955","Yes","4/26/2024 12:05:08 PM","","No","Aggravated Assault - Shooting - Criminal"
"5/6/2021 12:00:00 AM","00:19:00","21018577    ","TAMPERING WITH MOTOR VEHICLE 2ND DEGREE","240","Motor Vehicle Theft","07","Property","M","04","N 22ND ST","CASS AVE","4","Carr Square","61","38.636735","-90.209955","Yes","4/26/2024 12:05:08 PM","","No","Aggravated Assault - Shooting - Criminal"
"5/6/2021 12:00:00 AM","00:19:00","21018577    ","LEAVING SCENE OF ACCIDENT - PROPERTY DAMAGE EXCEEDING $1,000","90Z","All Other Offenses","","Unspecified","F","04","N 22ND ST","CASS AVE","4","Carr Square","61","38.636735","-90.209955","Yes","4/26/2024 12:05:08 PM","","No","Aggravated Assault - Shooting - Criminal"
"5/6/2021 12:00:00 AM","00:19:00","21018577    ","RESISTING/INTERFERING WITH ARREST FOR A FELONY","90Z","All Other Offenses","","Unspecified","F","04","N 22ND ST","CASS AVE","4","Carr Square","61","38.636735","-90.209955","Yes","4/26/2024 12:05:08 PM","","No","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","02:05:00","21024042    ","ROBBERY - 1ST DEGREE","120","Robbery","03","Property","F","03","N FLORISSANT AVE","SAINT LOUIS AVE","4","St Louis Place","60","38.650855","-90.19998","Yes","4/3/2024 6:05:49 PM","","Yes","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","02:05:00","21024042    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","03","N FLORISSANT AVE","SAINT LOUIS AVE","4","St Louis Place","60","38.650855","-90.19998","Yes","4/3/2024 6:05:49 PM","389871","Yes","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","02:05:00","21024042    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","03","N FLORISSANT AVE","SAINT LOUIS AVE","4","St Louis Place","60","38.650855","-90.19998","Yes","4/3/2024 6:05:49 PM","389874","Yes","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","02:05:00","21024042    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","03","N FLORISSANT AVE","SAINT LOUIS AVE","4","St Louis Place","60","38.650855","-90.19998","Yes","4/3/2024 6:05:49 PM","389875","Yes","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","02:05:00","21024042    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","03","N FLORISSANT AVE","SAINT LOUIS AVE","4","St Louis Place","60","38.650855","-90.19998","Yes","4/3/2024 6:05:49 PM","389876","Yes","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","02:05:00","21024042    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","03","N FLORISSANT AVE","SAINT LOUIS AVE","4","St Louis Place","60","38.650855","-90.19998","Yes","4/3/2024 6:05:49 PM","","No","Aggravated Assault - Shooting - Criminal"
"6/7/2021 12:00:00 AM","16:40:00","21024144    ","DOMESTIC ASSAULT - 3RD DEGREE","13B","Simple Assault","","Person","F","","3931 N 21ST ST","","4","Hyde Park","65","38.662682","-90.20578","Yes","4/12/2024 11:07:04 AM","392822","No","Simple Assault - Criminal"
"6/17/2021 12:00:00 AM","11:00:00","21025843    ","STEALING","23F","Theft From Motor Vehicle","06","Property","M","06","3600 WINDSOR PL","","4","Covenant Blu Grand Center","77","38.642899","-90.22905","Yes","4/20/2024 11:31:28 AM","","No","Larceny - Criminal"
"6/21/2021 12:00:00 AM","03:00:00","21026411    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","","3749 COTTAGE AVE","","4","JeffVanderLou","59","38.654292","-90.22607","Yes","4/5/2024 7:23:38 PM","","No","Offenses - All Other - Criminal"
"6/21/2021 12:00:00 AM","03:00:00","21026411    ","DISCHARGE/SHOOT FIREARM AT OR FROM MOTOR VEHICLE/SHOOT AT PERSON, ANOTHER MOTOR VEHICLE, OR BUILDING/HABITABLE STRUCTURE- PERSISTENT OFFENDER","520","Weapons Law Violations","","Society","F","","3749 COTTAGE AVE","","4","JeffVanderLou","59","38.654292","-90.22607","Yes","4/5/2024 7:23:38 PM","","Yes","Offenses - All Other - Criminal"
"6/21/2021 12:00:00 AM","03:00:00","21026411    ","UNLAWFUL USE OF WEAPON - SUBSECTION 4 - EXHIBITING","520","Weapons Law Violations","","Society","F","","3749 COTTAGE AVE","","4","JeffVanderLou","59","38.654292","-90.22607","Yes","4/5/2024 7:23:38 PM","","Yes","Offenses - All Other - Criminal"
"6/27/2021 12:00:00 AM","22:30:00","21027496    ","STEALING","23D","Theft From Building","06","Property","M","06","711 N EUCLID AVE","","5","Fountain Park","53","38.65194","-90.26086","Yes","4/5/2024 8:57:45 AM","","No","Motor Vehicle Theft - Criminal"
"6/27/2021 12:00:00 AM","22:30:00","21027496    ","STEALING - FIREARM/EXPLOSIVE WEAPON/AMMONIUM NITRATE","23D","Theft From Building","06","Property","F","06","711 N EUCLID AVE","","5","Fountain Park","53","38.65194","-90.26086","Yes","4/5/2024 8:57:45 AM","","No","Motor Vehicle Theft - Criminal"
"6/27/2021 12:00:00 AM","22:30:00","21027496    ","STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT","240","Motor Vehicle Theft","07","Property","F","06","711 N EUCLID AVE","","5","Fountain Park","53","38.65194","-90.26086","Yes","4/5/2024 8:57:45 AM","","No","Motor Vehicle Theft - Criminal"
"6/30/2021 12:00:00 AM","21:09:00","21028047    ","ROBBERY - 1ST DEGREE","120","Robbery","03","Property","F","03","703 N 13TH ST","","4","Downtown West","36","38.632751","-90.197464","Yes","4/2/2024 6:36:52 PM","","Yes","Robbery - Criminal"
"6/30/2021 12:00:00 AM","21:09:00","21028047    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","03","703 N 13TH ST","","4","Downtown West","36","38.632751","-90.197464","Yes","4/2/2024 6:36:52 PM","","No","Robbery - Criminal"
"6/30/2021 12:00:00 AM","21:00:00","21028088    ","STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT","240","Motor Vehicle Theft","07","Property","F","07","3217 PORTIS AVE","","2","Tower Grove South","15","38.601523","-90.26537","Yes","4/8/2024 9:43:59 AM","","No","Motor Vehicle Theft - Criminal"
"7/2/2021 12:00:00 AM","23:30:00","21028474    ","STEALING - FIREARM/EXPLOSIVE WEAPON/AMMONIUM NITRATE","23F","Theft From Motor Vehicle","06","Property","F","06","2005 N FLORISSANT AVE","","4","St Louis Place","60","38.644716","-90.197447","Yes","4/23/2024 11:44:57 AM","","No","Larceny - Criminal"
"7/3/2021 12:00:00 AM","23:30:00","21028611    ","STEALING - FIREARM/EXPLOSIVE WEAPON/AMMONIUM NITRATE","23F","Theft From Motor Vehicle","06","Property","F","06","5959 DELMAR BLVD","","5","West End","48","38.655126","-90.29275","Yes","4/30/2024 12:05:20 PM","","No","Larceny - Criminal"
"7/3/2021 12:00:00 AM","23:30:00","21028611    ","PROPERTY DAMAGE - 1ST DEGREE - DAMAGE TO MOTOR VEHICLE WITH INTENT TO STEAL","290","Destruction/Damage/Vandalism of Property","","Property","F","06","5959 DELMAR BLVD","","5","West End","48","38.655126","-90.29275","Yes","4/30/2024 12:05:20 PM","","No","Larceny - Criminal"
"7/12/2021 12:00:00 AM","00:18:00","21029995    ","ROBBERY - 1ST DEGREE","120","Robbery","03","Property","F","03","4582 COTTAGE","","5","The Greater Ville","56","38.663553","-90.247462","Yes","4/17/2024 6:05:19 PM","","Yes","Robbery - Criminal"
"7/12/2021 12:00:00 AM","00:18:00","21029995    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","03","4582 COTTAGE","","5","The Greater Ville","56","38.663553","-90.247462","Yes","4/17/2024 6:05:19 PM","","No","Robbery - Criminal"
"7/12/2021 12:00:00 AM","00:18:00","21029995    ","PROPERTY DAMAGE 1ST DEGREE","90Z","All Other Offenses","","Unspecified","F","03","4582 COTTAGE","","5","The Greater Ville","56","38.663553","-90.247462","Yes","4/17/2024 6:05:19 PM","","No","Robbery - Criminal"
"7/12/2021 12:00:00 AM","00:01:00","21030214    ","STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT","240","Motor Vehicle Theft","07","Property","F","07","3026 UTAH ST","","3","Benton Park West","30","38.596013","-90.234135","Yes","4/4/2024 7:40:27 AM","","No","Motor Vehicle Theft - Criminal"
"7/14/2021 12:00:00 AM","16:00:00","21030426    ","POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 10 GRAMS OR LESS","35A","Drug/Narcotic Violations","","Society","M","","4125 N GRAND BLVD","","6","Fairground","67","38.665615","-90.21432","Yes","4/10/2024 9:27:22 PM","","No","Weapon Law Violation - Criminal"
"7/14/2021 12:00:00 AM","16:00:00","21030426    ","UNLAWFUL POSSESSION OF A FIREARM","520","Weapons Law Violations","","Society","F","","4125 N GRAND BLVD","","6","Fairground","67","38.665615","-90.21432","Yes","4/10/2024 9:27:22 PM","","Yes","Weapon Law Violation - Criminal"
"7/14/2021 12:00:00 AM","16:00:00","21030426    ","RESISTING/INTERFERING WITH ARREST FOR A FELONY","90Z","All Other Offenses","","Unspecified","F","","4125 N GRAND BLVD","","6","Fairground","67","38.665615","-90.21432","Yes","4/10/2024 9:27:22 PM","","No","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:47:00","21031415    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","F","01","3027 CHEROKEE ST","","3","Gravois Park","19","38.59457","-90.234443","Yes","4/8/2024 10:10:56 PM","391478","Yes","Homicide - Criminal"
"7/19/2021 12:00:00 AM","19:47:00","21031415    ","UNLAWFUL USE OF WEAPON - SUBSECTION 9 - SHOOT AT/FROM MOTOR VEHICLE, AT PERSON, MOTOR VEHICLE OR BUILDING","520","Weapons Law Violations","","Society","F","01","3027 CHEROKEE ST","","3","Gravois Park","19","38.59457","-90.234443","Yes","4/8/2024 10:10:56 PM","","Yes","Homicide - Criminal"
"7/19/2021 12:00:00 AM","19:47:00","21031415    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","01","3027 CHEROKEE ST","","3","Gravois Park","19","38.59457","-90.234443","Yes","4/8/2024 10:10:56 PM","","No","Homicide - Criminal"
"7/19/2021 12:00:00 AM","19:47:00","21031415    ","PROPERTY DAMAGE - 2ND DEGREE","90Z","All Other Offenses","","Unspecified","M","01","3027 CHEROKEE ST","","3","Gravois Park","19","38.59457","-90.234443","Yes","4/8/2024 10:10:56 PM","","No","Homicide - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","POSSESSION OF CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS OF MARIJUANA/SYNTHETIC CANNABINOID","35A","Drug/Narcotic Violations","","Society","F","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","No","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 10 GRAMS OR LESS","35A","Drug/Narcotic Violations","","Society","M","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","No","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","UNLAWFUL POSSESSION OF A FIREARM","520","Weapons Law Violations","","Society","F","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","Yes","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","UNLAWFUL USE OF WEAPON - SUBSECTION 11 - POSSESS WEAPON AND A FELONY CONTROLLED SUBSTANCE","520","Weapons Law Violations","","Society","F","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","Yes","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","LEAVING SCENE OF ACCIDENT - PROPERTY DAMAGE EXCEEDING $1,000","90Z","All Other Offenses","","Unspecified","F","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","No","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","RESISTING ARREST/DETENTION/STOP BY FLEEING - CREATING A SUBSTANTIAL RISK OF SERIOUS INJURY/DEATH TO ANY PERSON","90Z","All Other Offenses","","Unspecified","F","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","No","Weapon Law Violation - Criminal"
"7/19/2021 12:00:00 AM","19:42:00","21031430    ","RESISTING/INTERFERING WITH ARREST FOR A FELONY","90Z","All Other Offenses","","Unspecified","F","","NATURAL BRIDGE AVE","GOODFELLOW BLVD","5","Wells Goodfellow","50","38.685962","-90.27113","Yes","4/10/2024 9:25:46 PM","","No","Weapon Law Violation - Criminal"
